sample_accession	study_accession
SAMN17391897	PRJNA693579
SAMN17392179	PRJNA693579
SAMN17392125	PRJNA693579
SAMN17392073	PRJNA693579
SAMN17392049	PRJNA693579
SAMN17391932	PRJNA693579
SAMN17391868	PRJNA693579
SAMN17392206	PRJNA693579
SAMN17392020	PRJNA693579
SAMN17392155	PRJNA693579
SAMN17391962	PRJNA693579
SAMN17392076	PRJNA693579
SAMN17391805	PRJNA693579
SAMN17391900	PRJNA693579
SAMN17392182	PRJNA693579
SAMN17391837	PRJNA693579
SAMN17392128	PRJNA693579
SAMN17392103	PRJNA693579
SAMN17391989	PRJNA693579
SAMN17391935	PRJNA693579
SAMN17391808	PRJNA693579
SAMN17391871	PRJNA693579
SAMN17391839	PRJNA693579
SAMN17391903	PRJNA693579
SAMN17391992	PRJNA693579
SAMN17392052	PRJNA693579
SAMN17391936	PRJNA693579
SAMN17391872	PRJNA693579
SAMN17392209	PRJNA693579
SAMN17391840	PRJNA693579
SAMN17392023	PRJNA693579
SAMN17392158	PRJNA693579
SAMN17392131	PRJNA693579
SAMN17391965	PRJNA693579
SAMN17392079	PRJNA693579
SAMN17391904	PRJNA693579
SAMN17391809	PRJNA693579
SAMN17392185	PRJNA693579
SAMN17392106	PRJNA693579
SAMN17391993	PRJNA693579
SAMN17392053	PRJNA693579
SAMN17391937	PRJNA693579
SAMN17391873	PRJNA693579
SAMN17392210	PRJNA693579
SAMN17392024	PRJNA693579
SAMN17392159	PRJNA693579
SAMN17392132	PRJNA693579
SAMN17391966	PRJNA693579
SAMN17392080	PRJNA693579
SAMN17391810	PRJNA693579
SAMN17391905	PRJNA693579
SAMN17391841	PRJNA693579
SAMN17392186	PRJNA693579
SAMN17391994	PRJNA693579
SAMN17392055	PRJNA693579
SAMN17391940	PRJNA693579
SAMN17391813	PRJNA693579
SAMN17391877	PRJNA693579
SAMN17391876	PRJNA693579
SAMN17392212	PRJNA693579
SAMN17391844	PRJNA693579
SAMN17392027	PRJNA693579
SAMN17392134	PRJNA693579
SAMN17391969	PRJNA693579
SAMN17392082	PRJNA693579
SAMN17391908	PRJNA693579
SAMN17392188	PRJNA693579
SAMN17392161	PRJNA693579
SAMN17392108	PRJNA693579
SAMN17391997	PRJNA693579
SAMN17392056	PRJNA693579
SAMN17391814	PRJNA693579
SAMN17391941	PRJNA693579
SAMN17391878	PRJNA693579
SAMN17391845	PRJNA693579
SAMN17392028	PRJNA693579
SAMN17392135	PRJNA693579
SAMN17391970	PRJNA693579
SAMN17392083	PRJNA693579
SAMN17391909	PRJNA693579
SAMN17392162	PRJNA693579
SAMN17392109	PRJNA693579
SAMN17391998	PRJNA693579
SAMN17392058	PRJNA693579
SAMN17391943	PRJNA693579
SAMN17391880	PRJNA693579
SAMN17392214	PRJNA693579
SAMN17392030	PRJNA693579
SAMN17392137	PRJNA693579
SAMN17391972	PRJNA693579
SAMN17391816	PRJNA693579
SAMN17391911	PRJNA693579
SAMN17392225	PRJNA693579
SAMN17392164	PRJNA693579
SAMN17391847	PRJNA693579
