sample_accession	study_accession
SAMEA6943300	PRJEB38835
SAMEA6943115	PRJEB38835
SAMEA6943172	PRJEB38835
SAMEA6943170	PRJEB38835
SAMEA6943144	PRJEB38835
SAMEA6943267	PRJEB38835
SAMEA6943301	PRJEB38835
SAMEA6943308	PRJEB38835
SAMN14830453	PRJNA630282
SAMN14830454	PRJNA630282
SAMN14830455	PRJNA630282
SAMN14830456	PRJNA630282
SAMN14830457	PRJNA630282
SAMN14830458	PRJNA630282
SAMN14830459	PRJNA630282
SAMN14830460	PRJNA630282
SAMN14830461	PRJNA630282
SAMN14830462	PRJNA630282
SAMN14830463	PRJNA630282
SAMN14830464	PRJNA630282
SAMN14830465	PRJNA630282
SAMN14830466	PRJNA630282
SAMN14830467	PRJNA630282
SAMN14830468	PRJNA630282
SAMN14830469	PRJNA630282
SAMN14830470	PRJNA630282
SAMN14830471	PRJNA630282
SAMN14830472	PRJNA630282
SAMN14830473	PRJNA630282
SAMN14830474	PRJNA630282
SAMN14830475	PRJNA630282
SAMN14830476	PRJNA630282
SAMN14830477	PRJNA630282
SAMN14830478	PRJNA630282
SAMN14830479	PRJNA630282
SAMN14830480	PRJNA630282
SAMN14830481	PRJNA630282
SAMN14830482	PRJNA630282
SAMN14830483	PRJNA630282
SAMN14830484	PRJNA630282
SAMN14830485	PRJNA630282
SAMN14830486	PRJNA630282
SAMN14830487	PRJNA630282
SAMN14830488	PRJNA630282
SAMN14830489	PRJNA630282
SAMN14830490	PRJNA630282
SAMN14830491	PRJNA630282
SAMN14830492	PRJNA630282
SAMN14830493	PRJNA630282
SAMN14830494	PRJNA630282
SAMN14830495	PRJNA630282
SAMN14830496	PRJNA630282
SAMN14830497	PRJNA630282
SAMN14830498	PRJNA630282
SAMN14830499	PRJNA630282
SAMN14830500	PRJNA630282
SAMN14830501	PRJNA630282
SAMN14830502	PRJNA630282
SAMN14830503	PRJNA630282
SAMN14830504	PRJNA630282
SAMN14830505	PRJNA630282
SAMN14830506	PRJNA630282
SAMN14830507	PRJNA630282
SAMN14830508	PRJNA630282
SAMN14830509	PRJNA630282
SAMN14830510	PRJNA630282
SAMN14830511	PRJNA630282
SAMN14830512	PRJNA630282
SAMN14830513	PRJNA630282
SAMN14830514	PRJNA630282
SAMN14830515	PRJNA630282
SAMN14830516	PRJNA630282
SAMN14830517	PRJNA630282
SAMN14830518	PRJNA630282
SAMN14830519	PRJNA630282
SAMN14830520	PRJNA630282
SAMN14830521	PRJNA630282
SAMN14830522	PRJNA630282
SAMN14830523	PRJNA630282
SAMN14830524	PRJNA630282
SAMN14830525	PRJNA630282
SAMN14830526	PRJNA630282
SAMN14830527	PRJNA630282
SAMN14830528	PRJNA630282
SAMN14830529	PRJNA630282
SAMN14830530	PRJNA630282
SAMN14830531	PRJNA630282
SAMN14830532	PRJNA630282
SAMN14830533	PRJNA630282
SAMN14830534	PRJNA630282
SAMN14830535	PRJNA630282
SAMN14830536	PRJNA630282
SAMN14830537	PRJNA630282
SAMN14830538	PRJNA630282
SAMN14830539	PRJNA630282
SAMN14830540	PRJNA630282
SAMN14830541	PRJNA630282
SAMN14830542	PRJNA630282
SAMN14830543	PRJNA630282
SAMN14830544	PRJNA630282
SAMN14830545	PRJNA630282
SAMN14830546	PRJNA630282
SAMN14830547	PRJNA630282
SAMN14830548	PRJNA630282
SAMN14830549	PRJNA630282
SAMN14830550	PRJNA630282
SAMN14830551	PRJNA630282
SAMN14830552	PRJNA630282
SAMN14830553	PRJNA630282
SAMN14830554	PRJNA630282
SAMN14830555	PRJNA630282
SAMN14830556	PRJNA630282
SAMN14830557	PRJNA630282
SAMN14830558	PRJNA630282
SAMN14830559	PRJNA630282
SAMN36720870	PRJNA999191
SAMN36720868	PRJNA999191
SAMN36720869	PRJNA999191
SAMN09242365	PRJNA472768
SAMN09242290	PRJNA472768
SAMN09242408	PRJNA472768
SAMN09242409	PRJNA472768
SAMN09242316	PRJNA472768
SAMN09242317	PRJNA472768
SAMN09242318	PRJNA472768
SAMN09242319	PRJNA472768
SAMN09242320	PRJNA472768
SAMN09242321	PRJNA472768
SAMN09242322	PRJNA472768
SAMN09242323	PRJNA472768
SAMN09242291	PRJNA472768
SAMN09242299	PRJNA472768
SAMN09242300	PRJNA472768
SAMN09242301	PRJNA472768
SAMN09242302	PRJNA472768
SAMN09242303	PRJNA472768
SAMN09242304	PRJNA472768
SAMN09242305	PRJNA472768
SAMN09242306	PRJNA472768
SAMN09242307	PRJNA472768
SAMN09242419	PRJNA472768
SAMN09242292	PRJNA472768
SAMN09242420	PRJNA472768
SAMN09242421	PRJNA472768
SAMN09242422	PRJNA472768
SAMN09242423	PRJNA472768
SAMN09242424	PRJNA472768
SAMN09242425	PRJNA472768
SAMN09242426	PRJNA472768
SAMN09242427	PRJNA472768
SAMN09242428	PRJNA472768
SAMN09242379	PRJNA472768
SAMN09242293	PRJNA472768
SAMN09242380	PRJNA472768
SAMN09242381	PRJNA472768
SAMN09242382	PRJNA472768
SAMN09242383	PRJNA472768
SAMN09242308	PRJNA472768
SAMN09242309	PRJNA472768
SAMN09242310	PRJNA472768
SAMN09242311	PRJNA472768
SAMN09242312	PRJNA472768
SAMN09242313	PRJNA472768
SAMN09242294	PRJNA472768
SAMN09242314	PRJNA472768
SAMN09242315	PRJNA472768
SAMN09242384	PRJNA472768
SAMN09242385	PRJNA472768
SAMN09242386	PRJNA472768
SAMN09242387	PRJNA472768
SAMN09242388	PRJNA472768
SAMN09242389	PRJNA472768
SAMN09242390	PRJNA472768
SAMN09242391	PRJNA472768
SAMN09242295	PRJNA472768
SAMN09242338	PRJNA472768
SAMN09242339	PRJNA472768
SAMN09242340	PRJNA472768
SAMN09242341	PRJNA472768
SAMN09242342	PRJNA472768
SAMN09242343	PRJNA472768
SAMN09242344	PRJNA472768
SAMN09242345	PRJNA472768
SAMN09242346	PRJNA472768
SAMN09242347	PRJNA472768
SAMN09242296	PRJNA472768
SAMN09242348	PRJNA472768
SAMN09242349	PRJNA472768
SAMN09242350	PRJNA472768
SAMN09242351	PRJNA472768
SAMN09242352	PRJNA472768
SAMN09242353	PRJNA472768
SAMN09242354	PRJNA472768
SAMN09242392	PRJNA472768
SAMN09242393	PRJNA472768
SAMN09242394	PRJNA472768
SAMN09242297	PRJNA472768
SAMN09242395	PRJNA472768
SAMN09242396	PRJNA472768
SAMN09242397	PRJNA472768
SAMN09242324	PRJNA472768
SAMN09242325	PRJNA472768
SAMN09242326	PRJNA472768
SAMN09242327	PRJNA472768
SAMN09242328	PRJNA472768
SAMN09242329	PRJNA472768
SAMN09242330	PRJNA472768
SAMN09242298	PRJNA472768
SAMN09242331	PRJNA472768
SAMN09242332	PRJNA472768
SAMN09242333	PRJNA472768
SAMN09242334	PRJNA472768
SAMN09242335	PRJNA472768
SAMN09242336	PRJNA472768
SAMN09242337	PRJNA472768
SAMN09242476	PRJNA472768
SAMN09242477	PRJNA472768
SAMN09242478	PRJNA472768
SAMN09242281	PRJNA472768
SAMN09242479	PRJNA472768
SAMN09242438	PRJNA472768
SAMN09242439	PRJNA472768
SAMN09242440	PRJNA472768
SAMN09242441	PRJNA472768
SAMN09242442	PRJNA472768
SAMN09242443	PRJNA472768
SAMN09242444	PRJNA472768
SAMN09242445	PRJNA472768
SAMN09242446	PRJNA472768
SAMN09242366	PRJNA472768
SAMN09242282	PRJNA472768
SAMN09242447	PRJNA472768
SAMN09242448	PRJNA472768
SAMN09242449	PRJNA472768
SAMN09242367	PRJNA472768
SAMN09242410	PRJNA472768
SAMN09242411	PRJNA472768
SAMN09242412	PRJNA472768
SAMN09242413	PRJNA472768
SAMN09242450	PRJNA472768
SAMN09242283	PRJNA472768
SAMN09242284	PRJNA472768
SAMN09242285	PRJNA472768
SAMN09242286	PRJNA472768
SAMN09242287	PRJNA472768
SAMN09242288	PRJNA472768
SAMN09242289	PRJNA472768
SAMN09242429	PRJNA472768
SAMN09242430	PRJNA472768
SAMN09242368	PRJNA472768
SAMN09242431	PRJNA472768
SAMN09242432	PRJNA472768
SAMN09242433	PRJNA472768
SAMN09242434	PRJNA472768
SAMN09242435	PRJNA472768
SAMN09242436	PRJNA472768
SAMN09242437	PRJNA472768
SAMN09242355	PRJNA472768
SAMN09242356	PRJNA472768
SAMN09242357	PRJNA472768
SAMN09242369	PRJNA472768
SAMN09242358	PRJNA472768
SAMN09242359	PRJNA472768
SAMN09242360	PRJNA472768
SAMN09242361	PRJNA472768
SAMN09242362	PRJNA472768
SAMN09242363	PRJNA472768
SAMN09242364	PRJNA472768
SAMN09242467	PRJNA472768
SAMN09242468	PRJNA472768
SAMN09242469	PRJNA472768
SAMN09242370	PRJNA472768
SAMN09242470	PRJNA472768
SAMN09242471	PRJNA472768
SAMN09242472	PRJNA472768
SAMN09242473	PRJNA472768
SAMN09242474	PRJNA472768
SAMN09242475	PRJNA472768
SAMN09242451	PRJNA472768
SAMN09242452	PRJNA472768
SAMN09242453	PRJNA472768
SAMN09242454	PRJNA472768
SAMN09242371	PRJNA472768
SAMN09242455	PRJNA472768
SAMN09242456	PRJNA472768
SAMN09242457	PRJNA472768
SAMN09242458	PRJNA472768
SAMN09242398	PRJNA472768
SAMN09242399	PRJNA472768
SAMN09242400	PRJNA472768
SAMN09242401	PRJNA472768
SAMN09242402	PRJNA472768
SAMN09242403	PRJNA472768
SAMN09242372	PRJNA472768
SAMN09242404	PRJNA472768
SAMN09242405	PRJNA472768
SAMN09242406	PRJNA472768
SAMN09242407	PRJNA472768
SAMN09242459	PRJNA472768
SAMN09242460	PRJNA472768
SAMN09242461	PRJNA472768
SAMN09242462	PRJNA472768
SAMN09242463	PRJNA472768
SAMN09242464	PRJNA472768
SAMN09242373	PRJNA472768
SAMN09242465	PRJNA472768
SAMN09242466	PRJNA472768
SAMN09242375	PRJNA472768
SAMN09242376	PRJNA472768
SAMN09242377	PRJNA472768
SAMN09242378	PRJNA472768
SAMN09242272	PRJNA472768
SAMN09242273	PRJNA472768
SAMN09242274	PRJNA472768
SAMN09242275	PRJNA472768
SAMN09242374	PRJNA472768
SAMN09242276	PRJNA472768
SAMN09242277	PRJNA472768
SAMN09242278	PRJNA472768
SAMN09242279	PRJNA472768
SAMN09242280	PRJNA472768
SAMN09242414	PRJNA472768
SAMN09242415	PRJNA472768
SAMN09242416	PRJNA472768
SAMN09242417	PRJNA472768
SAMN09242418	PRJNA472768
SAMN07171660	PRJNA388136
SAMN07171662	PRJNA388136
SAMN07171665	PRJNA388136
SAMN07171674	PRJNA388136
SAMN07171680	PRJNA388136
SAMN07171681	PRJNA388136
SAMN07171683	PRJNA388136
SAMN07171684	PRJNA388136
SAMN07171689	PRJNA388136
SAMN07171690	PRJNA388136
SAMN07171691	PRJNA388136
SAMN07171694	PRJNA388136
SAMN07171661	PRJNA388136
SAMN07171657	PRJNA388136
SAMN07171667	PRJNA388136
SAMN07171670	PRJNA388136
SAMN07171671	PRJNA388136
SAMN07171673	PRJNA388136
SAMN07171675	PRJNA388136
SAMN07171677	PRJNA388136
SAMN07171682	PRJNA388136
SAMN07171685	PRJNA388136
SAMN07171686	PRJNA388136
SAMN07171688	PRJNA388136
SAMN07171692	PRJNA388136
SAMN07171693	PRJNA388136
SAMN07171696	PRJNA388136
SAMN07171695	PRJNA388136
SAMN07171668	PRJNA388136
SAMN07171658	PRJNA388136
SAMN07171659	PRJNA388136
SAMN07171663	PRJNA388136
SAMN07171664	PRJNA388136
SAMN07171666	PRJNA388136
SAMN07171672	PRJNA388136
SAMN07171676	PRJNA388136
SAMN07171678	PRJNA388136
SAMN07171679	PRJNA388136
SAMN07171687	PRJNA388136
SAMN07171669	PRJNA388136
